Ticker,Name,Sector
III.L,3i Group,Financial Services
ABDN.L,abrdn,Financial Services
ADM.L,Admiral Group,Insurance
AAF.L,Airtel Africa,Telecommunications
ALW.L,Alliance Witan,Investment Trusts
AAL.L,Anglo American,Mining
ANTO.L,Antofagasta,Mining
ABF.L,Associated British Foods,Food & Tobacco
AZN.L,AstraZeneca,Pharmaceuticals & Biotechnology
AUTO.L,Auto Trader Group,Media
AV.L,Aviva,Life Insurance
BAB.L,Babcock International,Aerospace & Defence
BA.L,BAE Systems,Aerospace & Defence
BARC.L,Barclays,Banks
BTRW.L,Barratt Redrow,Household Goods & Home Construction
BEZ.L,Beazley,Insurance
BP.L,BP,Oil & Gas Producers
BATS.L,British American Tobacco,Tobacco
BLND.L,British Land,Real Estate
BT-A.L,BT Group,Telecommunications
BNZL.L,Bunzl,Support Services
BRBY.L,Burberry Group,Personal Goods
CNA.L,Centrica,Multiline Utilities
CCEP.L,Coca-Cola Europacific Partners,Beverages
CCH.L,Coca-Cola HBC,Beverages
CPG.L,Compass Group,Support Services
CCC.L,Computacenter,Software & Computer Services
CTEC.L,Convatec,Health Care Equipment & Supplies
CRDA.L,Croda International,Chemicals
DCC.L,DCC plc,Support Services
DGE.L,Diageo,Beverages
DPLM.L,Diploma,Industrial Support Services
EDV.L,Endeavour Mining,Mining
ENT.L,Entain,Travel & Leisure
EXPN.L,Experian,Support Services
FCIT.L,F&C Investment Trust,Collective Investments
FRES.L,Fresnillo,Mining
GAW.L,Games Workshop,Leisure Goods
GLEN.L,Glencore,Mining
GSK.L,GSK,Pharmaceuticals & Biotechnology
HLN.L,Haleon,Pharmaceuticals & Biotechnology
HLMA.L,Halma,Electronic Equipment & Parts
HSX.L,Hiscox,Non-Life Insurance
HWDN.L,Howdens Joinery,Homebuilding & Construction Supplies
HSBA.L,HSBC Holdings,Banks
ICG.L,ICG,Financial Services
IGG.L,IG Group,Financial Services
IHG.L,IHG Hotels & Resorts,Travel & Leisure
IMI.L,IMI plc,Industrial Engineering
IMB.L,Imperial Brands,Tobacco
INF.L,Informa,Media
IAG.L,International Airlines Group,Travel & Leisure
ITRK.L,Intertek,Support Services
INVP.L,Investec,Financial Services
JD.L,JD Sports Fashion,General Retailers
BGEO.L,Lion Finance Group,Banks
KGF.L,Kingfisher,General Retailers
LAND.L,Land Securities,Real Estate Investment Trusts
LGEN.L,Legal & General,Life Insurance
LLOY.L,Lloyds Banking Group,Banks
LMP.L,LondonMetric Property,Real Estate Investment Trusts
LSEG.L,London Stock Exchange Group,Financial Services
MNG.L,M&G,Financial Services
MKS.L,Marks & Spencer,Food & Drug Retailers
MRO.L,Melrose Industries,Aerospace & Defence
NG.L,National Grid,Multiline Utilities
NWG.L,NatWest Group,Banks
NXT.L,Next,General Retailers
PSON.L,Pearson,Media
PSN.L,Persimmon,Household Goods & Home Construction
PCT.L,Polar Capital Technology Trust,Investment Trusts
PRU.L,Prudential,Life Insurance
RKT.L,Reckitt Benckiser,Household Goods & Home Construction
REL.L,RELX,Media
RTO.L,Rentokil Initial,Support Services
RIO.L,Rio Tinto,Mining
RR.L,Rolls-Royce Holdings,Aerospace & Defence
SGE.L,Sage Group,Software & Computer Services
SBRY.L,Sainsbury's,Food & Drug Retailers
SDR.L,Schroders,Financial Services
SMT.L,Scottish Mortgage Investment Trust,Collective Investments
SGRO.L,Segro,Real Estate Investment Trusts
SVT.L,Severn Trent,Multiline Utilities
SHEL.L,Shell,Oil & Gas Producers
SMIN.L,Smiths Group,General Industrials
SN.L,Smith & Nephew,Health Care Equipment & Supplies
SPX.L,Spirax Group,Industrial Engineering
SSE.L,SSE,Electrical Utilities
STAN.L,Standard Chartered,Banks
STJ.L,St. James's Place,Financial Services
TSCO.L,Tesco,Food & Drug Retailers
BBOX.L,Tritax Big Box REIT,Real Estate Investment Trusts
ULVR.L,Unilever,Personal Goods
UU.L,United Utilities,Multiline Utilities
VOD.L,Vodafone Group,Mobile Telecommunications
WEIR.L,Weir Group,Industrial Engineering
WTB.L,Whitbread,Travel & Leisure
